FROM,TO,24h Tariff,Urban 24H Standing Charge,Rural 24h Standing Charge,Day Tariff,Night Tariff,Day/Night Urban Standing Charge,Day/Night Rural Standing Charge,TOU Day Tariff,TOU Peak Tariff,TOU Night Tariff,TOU Urban Standing Charge,TOU Rural Standing Charge
2021-07-01,2022-09-30,0.302,1.4365,1.6918,0.3298,0.1629,1.7123,1.9155,0.2663,0.293,0.1384,1.4621,1.7267
2022-10-01,2022-11-30,0.37,1.46,1.77,0.4,0.2,1.8,2.04,0.38,0.39,0.2,1.44,1.77
2022-12-01,2023-02-28,0.4154,1.4621,1.7725,0.46,0.2271,1.7975,2.0446,0.4334,0.4376,0.2247,1.4422,1.7725
2023-03-01,2023-09-30,0.4154,1.0083,1.3187,0.46,0.2271,1.3437,1.5908,0.4595,0.5164,0.2383,1.0083,1.3187
2023-10-01,2023-10-31,0.4154,1.4621,1.7726,0.46,0.2271,1.7975,2.0446,0.4595,0.5164,0.2383,1.4621,1.7726
2023-11-01,2024-03-31,0.3622,1.4621,1.7726,0.4011,0.1981,1.7975,2.0446,0.4007,0.4503,0.2078,1.4621,1.7726
2024-04-01,2024-09-30,0.3362,1.3893,1.6773,0.3722,0.1838,1.7005,1.9298,0.3719,0.4179,0.1928,1.3893,1.6774
2024-10-01,2025-09-30,0.3362,1.505,1.793,0.3722,0.1838,1.8162,2.0455,0.3719,0.4179,0.1928,1.505,1.793
2025-10-01,2025-11-30,0.3362,1.4613,1.7494,0.3722,0.1838,1.7726,2.0019,0.3719,0.4179,0.1928,1.4613,1.7494
2025-12-01,,0.3362,1.4416,1.7297,0.3722,0.1838,1.7529,1.9822,0.3719,0.4179,0.1928,1.4416,1.7297
